month,id,name,velocity_kph,miss_distance_km,is_potentially_hazardous_asteroid,ranked
2025-12-01,54568729,(2025 YE2),31815.2682959611,91235.896247741,false,1
2025-12-01,54571063,(2025 YA8),36426.3781972363,92599.5855513,false,2
2025-12-01,54566094,(2025 XB1),31013.6383480432,130232.799723175,false,3
2025-11-01,54564655,(2025 WV13),38185.9444758413,24425.14343064,false,1
2025-11-01,54564664,(2025 WE14),75035.621819025,28027.400301092,false,2
2025-11-01,54560222,(2025 VN),42731.7090982157,36092.251392366,false,3
2025-10-01,54555306,(2025 UC11),40913.7454895368,6599.180919736,false,1
2025-10-01,54549695,(2025 TF),75154.0114824793,6780.463618602,false,2
2025-10-01,54551101,(2025 TQ2),52951.0069679062,11239.377731822,false,3
2025-09-01,54546914,(2025 SU4),33051.0152255716,22380.873577303,false,1
2025-09-01,54546404,(2025 SY1),28266.4123009176,57210.848062183,false,2
2025-09-01,54545422,(2025 RN4),18989.5937131971,65697.624986005,false,3
2025-08-01,54540493,(2025 PF2),47009.7556670304,22361.336095481,false,1
2025-08-01,54540401,(2025 PU1),35851.0439373465,29273.131684156,false,2
2025-08-01,54539803,(2025 PU),37793.0170530778,52987.206519112,false,3
2025-07-01,54538345,(2025 OS),45732.1894074943,10457.324946823,false,1
2025-07-01,54538711,(2025 OM2),72164.9833805254,88150.754334518,false,2
2025-07-01,54538187,(2025 NH1),52136.2841780362,93520.779315186,false,3
2025-06-01,54537805,(2025 MJ91),27020.2728103552,70069.727455264,false,1
2025-06-01,54534334,(2025 LK),36938.0603921789,99232.515750508,false,2
2025-06-01,54534750,(2025 MB),27488.0090434542,134974.453810695,false,3
2025-05-01,54532864,(2025 KF),41698.2791638393,115160.260808556,false,1
2025-05-01,54533161,(2025 KF2),29664.6413014239,139790.876913641,false,2
2025-05-01,54533098,(2025 KS1),21767.6847870876,146113.974964292,false,3
2025-04-01,54527124,(2025 HH),33362.7513086601,27855.467469101,false,1
2025-04-01,54527121,(2025 GS1),37953.2302185344,37989.915333103,false,2
2025-04-01,54525753,(2025 GA),38354.9952476228,85027.913758055,false,3
2025-03-01,54524629,(2025 FY6),84335.734357619,21944.257233921,false,1
2025-03-01,54523942,(2025 FC),61831.1390691013,66173.450931114,false,2
2025-03-01,54524634,(2025 FN7),29061.0777201249,81966.139032126,false,3
2025-02-01,54520041,(2025 DW),28578.4733909498,122573.209261731,false,1
2025-02-01,54518083,(2025 CF),44036.6088145277,124256.828570072,false,2
2025-02-01,54520165,(2025 DK1),55551.3868297742,150543.238779678,false,3
2025-01-01,54517683,(2025 BP6),75769.1152420849,9711.953559548,false,1
2025-01-01,54517528,(2025 BT4),23213.1517526978,120253.275413345,false,2
2025-01-01,54513049,(2025 AC),15404.3221587505,140221.389663927,false,3
